ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,TOTAL_SALES,REVENUE
10107,30,95.7,2,"2,871.00",2/24/2003,Shipped,1,2,2003,Motorcycles,95.00,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Small,2871,86130
10121,34,81.35,5,"2,765.90",5/7/2003,Shipped,2,5,2003,Motorcycles,95.00,S10_1678,Reims Collectables,26471555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small,2765.9,94040.6
10134,41,94.74,2,"3,884.34",7/1/2003,Shipped,3,7,2003,Motorcycles,95.00,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,3884.34,159257.94
10145,45,83.26,6,"3,746.70",8/25/2003,Shipped,3,8,2003,Motorcycles,95.00,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium,3746.7,168601.5
10159,49,100,14,"5,205.27",10/10/2003,Shipped,4,-,2003,Motorcycles,95.00,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium,4900,240100
10168,36,96.66,1,"3,479.76",10/28/2003,Shipped,4,10,2003,Motorcycles,95.00,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,3479.76,125271.36
10180,29,86.13,9,"2,497.77",11/11/2003,Shipped,4,11,2003,Motorcycles,95.00,S10_1678,Daedalus Designs Imports,20161555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Small,2497.77,72435.33
10188,48,100,1,"5,512.32",11/18/2003,Shipped,4,11,2003,Motorcycles,95.00,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,4800,230400
10201,22,98.57,2,"2,168.54",12/1/2003,Shipped,4,12,2003,Motorcycles,95.00,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Small,2168.54,47707.88
10211,41,100,14,"4,708.44",1/15/2004,Shipped,1,1,2004,Motorcycles,95.00,S10_1678,Auto Canal Petit,1 47556555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,4100,168100
10223,37,100,1,"3,965.66",2/20/2004,Shipped,1,2,2004,Motorcycles,95.00,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,LevelNA3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,3700,136900
